ref,area,competency,description,exp_C1,exp_C2,exp_C3,exp_C4-S,exp_C4-M,exp_C5-S,exp_C5-M,exp_C6-S,exp_C6-M
G1,Squad-Delivery Excellence,Requirements to Proposal,Translating business requirements into detailed project proposals and solution approaches.,0,1,2,3,3,4,4,5,5
G2,Squad-Delivery Excellence,SoW and Resource Plan,Developing statements of work and resourcing plans for successful engagements.,0,1,2,3,3,4,4,5,5
G3,Squad-Delivery Excellence,Implementation Plan & WBS,Structuring and managing implementation plans using work breakdown structures.,0,1,2,3,3,4,4,5,5
G4,Squad-Delivery Excellence,RAID-Risk/Issue Management,"Tracking risks, issues, actions, and decisions to mitigate delivery problems.",0,1,2,3,3,4,4,5,5
G5,Squad-Delivery Excellence,Methodology Enforcement/Adher.,Ensuring compliance with Syniti and industry-standard project delivery methodologies.,0,1,2,3,3,4,4,5,5
G6,Squad-dqOps,Overall DQOps Methodology,Applying the Syniti methodology for data quality operations across different projects.,1,2,3,4,4,5,5,5,5
G7,Squad-dqOps,Enforcement of DQOps Methodology,Driving consistency and governance in DQ processes through methodology adherence.,1,2,3,4,4,5,5,5,5
G8,Squad-dqOps,Specify rule,Defining and managing granular data quality rules for business scenarios.,1,2,3,4,4,5,5,5,5
G9,Squad-dqOps,Build and execute QA,"Designing, executing, and reviewing QA activities for data quality assurance.",1,2,3,4,4,5,5,5,5
G10,Squad-dqOps,Iterate Validate & Improve,Cycling through validation and continuous improvement of DQ processes.,1,2,3,4,4,5,5,5,5
G11,Squad-Harmonization,Harmonization Methodology,Applying structured techniques for harmonizing data across domains or systems.,1,2,3,3,3,4,4,5,5
G12,Squad-Harmonization,Harmonization Solutioning,Designing solutions for data harmonization challenges and outcomes.,1,2,3,3,3,4,4,5,5
G13,Squad-Harmonization,Harmonization Architecture,Architecting frameworks to support harmonized enterprise data landscapes.,1,2,3,3,3,4,4,5,5
G14,Squad-Harmonization,Implement BP Consolidation,Executing business partner consolidation within harmonization initiatives.,1,2,3,3,2,4,3,5,4
G15,Squad-Harmonization,Implement MRO Spare Parts,"Integrating and consolidating MRO (Maintenance, Repair, Operations) spare parts for enterprise harmonization",1,2,3,4,2,3,3,4,4
G16,Squad-Source Cleansing,Src. Cleanse Methodology ,Applying structured cleansing methodology to source data sets.,1,2,2,3,3,4,4,5,5
G17,Squad-Source Cleansing,Src. Cleanse Approach,"Crafting approach for source cleansing considering process, people, and tools.",1,2,2,3,3,4,4,5,5
G18,Squad-Source Cleansing,"Src. Cleanse arch. (DQ, Migrate)",Designing architecture for cleansing activities in DQ,1,2,2,3,3,4,4,5,5
G19,Squad-Source Cleansing,Implement Src. Cleanse (Migrate),Executing source cleansing as part of data migration initiatives.,1,2,2,3,3,4,4,5,5
G20,Squad-Source Cleansing,Src. Cleanse Analytics,Utilizing analytics to measure and optimize source data cleansing.,1,2,2,3,3,4,4,5,5
G21,Squad-Cloud Data Quality,Cloud DQ Methodology ,Implementing methodologies for cloud-based data quality management.,1,2,2,3,3,4,4,5,5
G22,Squad-Cloud Data Quality,Cloud DQ Approach,Defining tailored approaches for cloud DQ challenges using Syniti tools.,1,2,2,3,3,4,4,5,5
G23,Squad-Cloud Data Quality,"Cloud DQ arch. (DQ, Migrate)",Designing and operating cloud data architecture supporting quality,1,2,2,3,3,4,4,5,5
G24,Squad-Cloud Data Quality,Implement Cloud DQ (Quality),Delivering end-to-end data quality solutions in cloud platforms.,1,2,2,3,3,4,4,5,5
G25,Squad-Cloud Data Quality,Cloud DQ Analytics,Applying analytics to assess and improve data quality in cloud environments.,1,2,2,3,3,4,4,5,5
G26,Squad-Dashboarding & Analytics,Advanced Data Modelling (SQL),Building complex data models and visualizations using advanced SQL techniques.,1,1,2,4,3,4,3,5,3
G27,Squad-Dashboarding & Analytics,Construct - DynamicContext,Configuring dynamic data constructs within Syniti platform dashboards.,1,1,2,4,3,4,3,5,3
G28,Squad-Dashboarding & Analytics,ADM Custom Dashboard - Quicksite,Customizing ADM dashboards for targeted insights in Quicksite.,1,1,2,3,3,4,3,5,3
G29,Squad-Dashboarding & Analytics,PowerBI,Designing and managing dashboards and reports in PowerBI.,1,1,1,2,2,2,2,2,2
G30,Squad-Dashboarding & Analytics,"Other (Tableau, Databricks)","Creating data dashboards with other analytics platforms (Tableau, Databricks, Snowflake, SAC).",1,1,1,2,2,2,2,2,2
G31,AI Enablement,General AI Knowledge & Day-to-Day Use,"Understanding of AI/LLM concepts and applying them in day-to-day delivery work: prompting, tool selection, and sound judgement on when and how to use AI. (Expected values provisional - confirm with CoE.)",1,1,1,2,2,3,3,3,3
G32,AI Enablement,AI-Augmentation: Development Acceleration,"Using AI to accelerate build and development work: generating and refining code, rules, transformations and automation, with review for correctness. (Expected values provisional - confirm with CoE.)",1,1,1,2,2,2,2,2,2
G33,AI Enablement,AI-Augmentation: Delivery & Consulting Quality,"Using AI to enhance the quality of delivery and consulting outputs: analysis, documentation, client-facing materials, and QA/review. (New competency; expected values provisional - confirm with CoE.)",1,1,1,2,2,3,3,3,3
